3199.7792,0.5572,916201.0000
3199.7892,0.6466,916844.0000
3199.7992,0.7246,917695.0000
3199.8092,0.7858,918150.0000
3199.8192,0.8261,918209.0000
3199.8292,0.8437,917873.0000
3199.8392,0.8384,916390.0000
3199.8492,0.8119,912818.0000
3199.8592,0.7679,903667.0000
3199.8692,0.7115,861331.0000
3199.8792,0.6491,691657.0000
3199.8892,0.5881,378483.0000
3199.8992,0.5354,180317.0000
3199.9092,0.4974,130120.0000
3199.9192,0.4786,119905.0000
3199.9292,0.4812,123522.0000
3199.9392,0.5046,148024.0000
3199.9492,0.5460,257093.0000
3199.9592,0.6006,531639.0000
3199.9692,0.6629,777484.0000
3199.9792,0.7271,846862.0000
3199.9892,0.7884,833619.0000
3199.9992,0.8432,828981.0000
3200.0092,0.8892,856763.0000
3200.0192,0.9255,893164.0000
3200.0292,0.9517,914106.0000
3200.0392,0.9684,920668.0000
3200.0492,0.9762,921950.0000
3200.0592,0.9756,922051.0000
3200.0692,0.9675,921328.0000
3200.0792,0.9528,918003.0000
3200.0892,0.9326,906852.0000
3200.0992,0.9086,877838.0000
3200.1092,0.8824,820606.0000
3200.1192,0.8561,737821.0000
3200.1292,0.8312,652111.0000
3200.1392,0.8088,592067.0000
3200.1492,0.7889,575141.0000
3200.1592,0.7706,605231.0000
3200.1692,0.7519,673495.0000
3200.1792,0.7305,754023.0000
3200.1892,0.7041,805923.0000
3200.1992,0.6710,793678.0000
3200.2092,0.6311,713673.0000
3200.2192,0.5857,600352.0000
3200.2292,0.5378,494883.0000
3200.2392,0.4915,398920.0000
3200.2492,0.4517,275077.0000
3200.2592,0.4232,163248.0000
3200.2692,0.4097,119067.0000
3200.2792,0.4135,109774.0000
3200.2892,0.4347,121990.0000
3200.2992,0.4711,187240.0000
3200.3092,0.5186,383750.0000
3200.3192,0.5713,584922.0000
3200.3292,0.6227,683272.0000
3200.3392,0.6661,767899.0000
3200.3492,0.6959,848246.0000
3200.3592,0.7079,894674.0000
3200.3692,0.7000,906913.0000
3200.3792,0.6727,885634.0000
3200.3892,0.6284,783614.0000
3200.3992,0.5714,560345.0000
3200.4092,0.5071,337933.0000
3200.4192,0.4412,228887.0000
3200.4292,0.3792,194690.0000
3200.4392,0.3259,162697.0000
3200.4492,0.2849,126166.0000
3200.4592,0.2590,107478.0000
3200.4692,0.2499,97190.6000
3200.4792,0.2583,93994.4000
3200.4892,0.2839,97688.7000
3200.4992,0.3256,108004.0000
3200.5092,0.3809,127050.0000
3200.5192,0.4467,196103.0000
3200.5292,0.5185,419020.0000
3200.5392,0.5919,672524.0000
3200.5492,0.6624,823674.0000
3200.5592,0.7265,876096.0000
3200.5692,0.7816,864181.0000
3200.5792,0.8267,813789.0000
3200.5892,0.8618,770129.0000
3200.5992,0.8880,776516.0000
3200.6092,0.9066,826725.0000
3200.6192,0.9193,873539.0000
3200.6292,0.9272,884802.0000
3200.6392,0.9313,861315.0000
3200.6492,0.9321,822670.0000
3200.6592,0.9296,804021.0000
3200.6692,0.9233,825315.0000
3200.6792,0.9124,865184.0000
3200.6892,0.8955,878895.0000
3200.6992,0.8711,842998.0000
3200.7092,0.8375,787213.0000
3200.7192,0.7935,769148.0000
3200.7292,0.7382,807048.0000
3200.7392,0.6721,850120.0000
3200.7492,0.5969,790045.0000
3200.7592,0.5152,543553.0000
3200.7692,0.4310,276913.0000
3200.7792,0.3485,164401.0000
